(id=1, parent_id=null, name=shape, value=list)
(id=2, parent_id=1, name=type, value="tetrahedron")
(id=3, parent_id=1, name=vertices, value=list)
(id=4, parent_id=3, name=point, value=list)
(id=5, parent_id=4, name=x, value="1")
(id=6, parent_id=4, name=y, value="0")
(id=7, parent_id=4, name=z, value="0")
(id=8, parent_id=3, name=point, value=list)
(id=9, parent_id=8, name=x, value="0")
(id=10, parent_id=8, name=y, value="1")
(id=11, parent_id=8, name=z, value="0")
(id=12, parent_id=3, name=point, value=list)
(id=13, parent_id=12, name=x, value="0")
(id=14, parent_id=12, name=y, value="0")
(id=15, parent_id=12, name=z, value="1")
(id=16, parent_id=3, name=point, value=list)
(id=17, parent_id=16, name=x, value="1")
(id=18, parent_id=16, name=y, value="1")
(id=19, parent_id=16, name=z, value="1")
(id=20, parent_id=1, name=color, value=list)
(id=21, parent_id=20, name=r, value="0xFF")
(id=22, parent_id=20, name=g, value="0x00")
(id=23, parent_id=20, name=b, value="0x80")
(id=24, parent_id=20, name=alpa, value="0x80")
